,idx,query,page_size,abordagem,sinonimos,erros_digitacao,reordenados
10,2,IOGURTE POLPA NINHO MORANGO 540G,100,mpnet,"Iogurte de Polpa de Morango da marca Ninho, com Peso Líquido de 540 Gramas.",IOGURTE POLPA NINHI MORANGU 540g,NINHO IOGURTE MORANGO POLPA 540G
11,2,IOGURTE POLPA NINHO MORANGO 540G,100,labase,"Iogurte de Polpa de Morango da marca Ninho, com Peso Líquido de 540 Gramas.",IOGURTE POLPA NINHI MORANGU 540g,NINHO IOGURTE MORANGO POLPA 540G
12,3,"ACRILICO SEBR BASE C 3,2L SUVINIL UVA-PASSA - 623687 TOQUE DE LUZ / ILUMINA",100,all_mini,"Acabamento de Acrílico Sebr Base C, com volume de 3,2 Litros, modelo Suvil Uva-Passa - 623687, com efeito Toque de Luz / Ilumina.","ACRILICO SEBR BAS C 3,2L SUVINIL UVA-PASA - 6236687 TOQUE DE LUZ / ILUMINNA","SUVINIL UVA-PASSA ACRILICO - 623687 TOQUE DE LUZ / ILUMINA BASE C 3,2L SEBR"
13,3,"ACRILICO SEBR BASE C 3,2L SUVINIL UVA-PASSA - 623687 TOQUE DE LUZ / ILUMINA",100,q_bv2,"Acabamento de Acrílico Sebr Base C, com volume de 3,2 Litros, modelo Suvil Uva-Passa - 623687, com efeito Toque de Luz / Ilumina.","ACRILICO SEBR BAS C 3,2L SUVINIL UVA-PASA - 6236687 TOQUE DE LUZ / ILUMINNA","SUVINIL UVA-PASSA ACRILICO - 623687 TOQUE DE LUZ / ILUMINA BASE C 3,2L SEBR"
14,3,"ACRILICO SEBR BASE C 3,2L SUVINIL UVA-PASSA - 623687 TOQUE DE LUZ / ILUMINA",100,mpnet,"Acabamento de Acrílico Sebr Base C, com volume de 3,2 Litros, modelo Suvil Uva-Passa - 623687, com efeito Toque de Luz / Ilumina.","ACRILICO SEBR BAS C 3,2L SUVINIL UVA-PASA - 6236687 TOQUE DE LUZ / ILUMINNA","SUVINIL UVA-PASSA ACRILICO - 623687 TOQUE DE LUZ / ILUMINA BASE C 3,2L SEBR"
15,3,"ACRILICO SEBR BASE C 3,2L SUVINIL UVA-PASSA - 623687 TOQUE DE LUZ / ILUMINA",100,labase,"Acabamento de Acrílico Sebr Base C, com volume de 3,2 Litros, modelo Suvil Uva-Passa - 623687, com efeito Toque de Luz / Ilumina.","ACRILICO SEBR BAS C 3,2L SUVINIL UVA-PASA - 6236687 TOQUE DE LUZ / ILUMINNA","SUVINIL UVA-PASSA ACRILICO - 623687 TOQUE DE LUZ / ILUMINA BASE C 3,2L SEBR"
16,4,TESOURA PODA HOBBY - TRAMONTINA,100,all_mini,"Tesoura de Poda para Hobby, marca Tramontina.",TESURE PODA HOBB - TRAMONINA,HOBBY - TRAMONTINA TESOURA PODA
17,4,TESOURA PODA HOBBY - TRAMONTINA,100,q_bv2,"Tesoura de Poda para Hobby, marca Tramontina.",TESURE PODA HOBB - TRAMONINA,HOBBY - TRAMONTINA TESOURA PODA
18,4,TESOURA PODA HOBBY - TRAMONTINA,100,mpnet,"Tesoura de Poda para Hobby, marca Tramontina.",TESURE PODA HOBB - TRAMONINA,HOBBY - TRAMONTINA TESOURA PODA
19,4,TESOURA PODA HOBBY - TRAMONTINA,100,labase,"Tesoura de Poda para Hobby, marca Tramontina.",TESURE PODA HOBB - TRAMONINA,HOBBY - TRAMONTINA TESOURA PODA
20,5,LIMP.CASA PERFUME AGRAD.12X500,100,all_mini,Limpeza Casa Perfume Agradável com 12 Unidades de 500 Mililitros Cada,LIMP.CAS PERFUME AGRAD.12x500,PERFUME AGRAD.12X500 LIMP.CASA
21,5,LIMP.CASA PERFUME AGRAD.12X500,100,q_bv2,Limpeza Casa Perfume Agradável com 12 Unidades de 500 Mililitros Cada,LIMP.CAS PERFUME AGRAD.12x500,PERFUME AGRAD.12X500 LIMP.CASA
22,5,LIMP.CASA PERFUME AGRAD.12X500,100,mpnet,Limpeza Casa Perfume Agradável com 12 Unidades de 500 Mililitros Cada,LIMP.CAS PERFUME AGRAD.12x500,PERFUME AGRAD.12X500 LIMP.CASA
23,5,LIMP.CASA PERFUME AGRAD.12X500,100,labase,Limpeza Casa Perfume Agradável com 12 Unidades de 500 Mililitros Cada,LIMP.CAS PERFUME AGRAD.12x500,PERFUME AGRAD.12X500 LIMP.CASA
24,6,EXTENSAO TRAMONTINA 3MT 3TOM,100,all_mini,Extensão de Alcance Tramontina de 3 Metros e 3 Toneladas.,EXTENSÃ TRAMONTIN 3MT 3TOMA,3TOM EXTENSAO TRAMONTINA 3MT
25,6,EXTENSAO TRAMONTINA 3MT 3TOM,100,q_bv2,Extensão de Alcance Tramontina de 3 Metros e 3 Toneladas.,EXTENSÃ TRAMONTIN 3MT 3TOMA,3TOM EXTENSAO TRAMONTINA 3MT
26,6,EXTENSAO TRAMONTINA 3MT 3TOM,100,mpnet,Extensão de Alcance Tramontina de 3 Metros e 3 Toneladas.,EXTENSÃ TRAMONTIN 3MT 3TOMA,3TOM EXTENSAO TRAMONTINA 3MT
27,6,EXTENSAO TRAMONTINA 3MT 3TOM,100,labase,Extensão de Alcance Tramontina de 3 Metros e 3 Toneladas.,EXTENSÃ TRAMONTIN 3MT 3TOMA,3TOM EXTENSAO TRAMONTINA 3MT
28,7,VARIVAX 100MG 30 S,100,all_mini,Varivax 100 Miligramas para 30 Doses,VAROVSX 10MG 30 S,100MG VARIVAX 30 S
29,7,VARIVAX 100MG 30 S,100,q_bv2,Varivax 100 Miligramas para 30 Doses,VAROVSX 10MG 30 S,100MG VARIVAX 30 S
30,7,VARIVAX 100MG 30 S,100,mpnet,Varivax 100 Miligramas para 30 Doses,VAROVSX 10MG 30 S,100MG VARIVAX 30 S
31,7,VARIVAX 100MG 30 S,100,labase,Varivax 100 Miligramas para 30 Doses,VAROVSX 10MG 30 S,100MG VARIVAX 30 S
32,8,ENGATE KRONA FLEXIVEL 1/2X50CM,100,all_mini,Conector Flexível Engate Krona de 1/2 Polegada por 50 Centímetros.,ENGAT KRONA FLEXIVL 1/2x50CM,ENGATE FLEXIVEL 1/2X50CM KRONA
33,8,ENGATE KRONA FLEXIVEL 1/2X50CM,100,q_bv2,Conector Flexível Engate Krona de 1/2 Polegada por 50 Centímetros.,ENGAT KRONA FLEXIVL 1/2x50CM,ENGATE FLEXIVEL 1/2X50CM KRONA
34,8,ENGATE KRONA FLEXIVEL 1/2X50CM,100,mpnet,Conector Flexível Engate Krona de 1/2 Polegada por 50 Centímetros.,ENGAT KRONA FLEXIVL 1/2x50CM,ENGATE FLEXIVEL 1/2X50CM KRONA
35,8,ENGATE KRONA FLEXIVEL 1/2X50CM,100,labase,Conector Flexível Engate Krona de 1/2 Polegada por 50 Centímetros.,ENGAT KRONA FLEXIVL 1/2x50CM,ENGATE FLEXIVEL 1/2X50CM KRONA
36,9,JOELHO PVC EM 45 GRAUS PARA ESGOTO PRIMARIO - DIAMETRO NOMINAL 50 MILIMETROS,100,all_mini,"Conector de Ângulo de 45 Graus em PVC para Esgoto Primário, com Diâmetro Nominal de 50 Milímetros",JOELHO PVE EM 45 GRUS PARA ESGTO PRIMRIO - DIAMETRO NMINAL 50 MILIMETROS,PVC EM 45 GRAUS PARA ESGOTO PRIMARIO - DIAMETRO JOELHO NOMINAL 50 MILIMETROS
37,9,JOELHO PVC EM 45 GRAUS PARA ESGOTO PRIMARIO - DIAMETRO NOMINAL 50 MILIMETROS,100,q_bv2,"Conector de Ângulo de 45 Graus em PVC para Esgoto Primário, com Diâmetro Nominal de 50 Milímetros",JOELHO PVE EM 45 GRUS PARA ESGTO PRIMRIO - DIAMETRO NMINAL 50 MILIMETROS,PVC EM 45 GRAUS PARA ESGOTO PRIMARIO - DIAMETRO JOELHO NOMINAL 50 MILIMETROS
38,9,JOELHO PVC EM 45 GRAUS PARA ESGOTO PRIMARIO - DIAMETRO NOMINAL 50 MILIMETROS,100,mpnet,"Conector de Ângulo de 45 Graus em PVC para Esgoto Primário, com Diâmetro Nominal de 50 Milímetros",JOELHO PVE EM 45 GRUS PARA ESGTO PRIMRIO - DIAMETRO NMINAL 50 MILIMETROS,PVC EM 45 GRAUS PARA ESGOTO PRIMARIO - DIAMETRO JOELHO NOMINAL 50 MILIMETROS
39,9,JOELHO PVC EM 45 GRAUS PARA ESGOTO PRIMARIO - DIAMETRO NOMINAL 50 MILIMETROS,100,labase,"Conector de Ângulo de 45 Graus em PVC para Esgoto Primário, com Diâmetro Nominal de 50 Milímetros",JOELHO PVE EM 45 GRUS PARA ESGTO PRIMRIO - DIAMETRO NMINAL 50 MILIMETROS,PVC EM 45 GRAUS PARA ESGOTO PRIMARIO - DIAMETRO JOELHO NOMINAL 50 MILIMETROS
40,10,ESPONJA SCOTCH BRITE MAGICA,100,all_mini,"Esponja Scotch Brite Mágica para Limpeza, também conhecida como Esponja de Fibra Abrasiva Mágica Scotch Brite.",ESPONJ SCOTCH BRTE MAGIC,SCOTCH BRITE ESPONJA MAGICA
41,10,ESPONJA SCOTCH BRITE MAGICA,100,q_bv2,"Esponja Scotch Brite Mágica para Limpeza, também conhecida como Esponja de Fibra Abrasiva Mágica Scotch Brite.",ESPONJ SCOTCH BRTE MAGIC,SCOTCH BRITE ESPONJA MAGICA
42,10,ESPONJA SCOTCH BRITE MAGICA,100,mpnet,"Esponja Scotch Brite Mágica para Limpeza, também conhecida como Esponja de Fibra Abrasiva Mágica Scotch Brite.",ESPONJ SCOTCH BRTE MAGIC,SCOTCH BRITE ESPONJA MAGICA
43,10,ESPONJA SCOTCH BRITE MAGICA,100,labase,"Esponja Scotch Brite Mágica para Limpeza, também conhecida como Esponja de Fibra Abrasiva Mágica Scotch Brite.",ESPONJ SCOTCH BRTE MAGIC,SCOTCH BRITE ESPONJA MAGICA
44,11,DOCE DE LEITE TRAD ELEGE PT 400G,100,all_mini,Doce de Leite Tradicional Seleção Especial de 400 Gramas,DOC DE LEIT TRAD ELEG PT 400G,ELEGE PT 400G DOCE DE LEITE TRAD
45,11,DOCE DE LEITE TRAD ELEGE PT 400G,100,q_bv2,Doce de Leite Tradicional Seleção Especial de 400 Gramas,DOC DE LEIT TRAD ELEG PT 400G,ELEGE PT 400G DOCE DE LEITE TRAD
46,11,DOCE DE LEITE TRAD ELEGE PT 400G,100,mpnet,Doce de Leite Tradicional Seleção Especial de 400 Gramas,DOC DE LEIT TRAD ELEG PT 400G,ELEGE PT 400G DOCE DE LEITE TRAD
47,11,DOCE DE LEITE TRAD ELEGE PT 400G,100,labase,Doce de Leite Tradicional Seleção Especial de 400 Gramas,DOC DE LEIT TRAD ELEG PT 400G,ELEGE PT 400G DOCE DE LEITE TRAD
48,12,FD PAMPERS SPLASHERS PM12,100,all_mini,Fralda Descartável Pampers Splasher modelo PM12,FD PAMPER SSPLASHRS PM12,SPLASHERS PM12 FD PAMPERS
49,12,FD PAMPERS SPLASHERS PM12,100,q_bv2,Fralda Descartável Pampers Splasher modelo PM12,FD PAMPER SSPLASHRS PM12,SPLASHERS PM12 FD PAMPERS
50,12,FD PAMPERS SPLASHERS PM12,100,mpnet,Fralda Descartável Pampers Splasher modelo PM12,FD PAMPER SSPLASHRS PM12,SPLASHERS PM12 FD PAMPERS
51,12,FD PAMPERS SPLASHERS PM12,100,labase,Fralda Descartável Pampers Splasher modelo PM12,FD PAMPER SSPLASHRS PM12,SPLASHERS PM12 FD PAMPERS
52,13,VENTILADOR COLUNA 40CM TURBO FORCE VFC4 ARNO,100,all_mini,"Ventilador de Coluna Turbo Force VFC4 Arno, com Altura de 40 Centímetros.",VENTILADOR COLUN 40CM TURBO FORCE VFC4 ARN,COLUNA 40CM TURBO FORCE VFC4 ARNO VENTILADOR
53,13,VENTILADOR COLUNA 40CM TURBO FORCE VFC4 ARNO,100,q_bv2,"Ventilador de Coluna Turbo Force VFC4 Arno, com Altura de 40 Centímetros.",VENTILADOR COLUN 40CM TURBO FORCE VFC4 ARN,COLUNA 40CM TURBO FORCE VFC4 ARNO VENTILADOR
54,13,VENTILADOR COLUNA 40CM TURBO FORCE VFC4 ARNO,100,mpnet,"Ventilador de Coluna Turbo Force VFC4 Arno, com Altura de 40 Centímetros.",VENTILADOR COLUN 40CM TURBO FORCE VFC4 ARN,COLUNA 40CM TURBO FORCE VFC4 ARNO VENTILADOR
55,13,VENTILADOR COLUNA 40CM TURBO FORCE VFC4 ARNO,100,labase,"Ventilador de Coluna Turbo Force VFC4 Arno, com Altura de 40 Centímetros.",VENTILADOR COLUN 40CM TURBO FORCE VFC4 ARN,COLUNA 40CM TURBO FORCE VFC4 ARNO VENTILADOR
56,14,FLORATTA DES COL F/SECRET 75ml (Desc. 2.89),100,all_mini,Perfume Floratta Des Col para Feminino com Volume de 75 Mililitros e Descrição de 2.89.,FLORATA DES COL F/SECRET 75ml (Desc. 2.89),DES COL F/SECRET 75ml (Desc. 2.89) FLORATTA
57,14,FLORATTA DES COL F/SECRET 75ml (Desc. 2.89),100,q_bv2,Perfume Floratta Des Col para Feminino com Volume de 75 Mililitros e Descrição de 2.89.,FLORATA DES COL F/SECRET 75ml (Desc. 2.89),DES COL F/SECRET 75ml (Desc. 2.89) FLORATTA
58,14,FLORATTA DES COL F/SECRET 75ml (Desc. 2.89),100,mpnet,Perfume Floratta Des Col para Feminino com Volume de 75 Mililitros e Descrição de 2.89.,FLORATA DES COL F/SECRET 75ml (Desc. 2.89),DES COL F/SECRET 75ml (Desc. 2.89) FLORATTA
59,14,FLORATTA DES COL F/SECRET 75ml (Desc. 2.89),100,labase,Perfume Floratta Des Col para Feminino com Volume de 75 Mililitros e Descrição de 2.89.,FLORATA DES COL F/SECRET 75ml (Desc. 2.89),DES COL F/SECRET 75ml (Desc. 2.89) FLORATTA
60,15,BICO P/PNEU 1/4 SIMPLES 3844 LOTUS,100,all_mini,Conector para Pneu 1/4 Simples 3844 da marca Lotus.,BIC P/PNE 1/4 SIMPLES 3844 LOTU,BICO P/PNEU 1/4 SIMPLES 3844 LOTUS
61,15,BICO P/PNEU 1/4 SIMPLES 3844 LOTUS,100,q_bv2,Conector para Pneu 1/4 Simples 3844 da marca Lotus.,BIC P/PNE 1/4 SIMPLES 3844 LOTU,BICO P/PNEU 1/4 SIMPLES 3844 LOTUS
62,15,BICO P/PNEU 1/4 SIMPLES 3844 LOTUS,100,mpnet,Conector para Pneu 1/4 Simples 3844 da marca Lotus.,BIC P/PNE 1/4 SIMPLES 3844 LOTU,BICO P/PNEU 1/4 SIMPLES 3844 LOTUS
63,15,BICO P/PNEU 1/4 SIMPLES 3844 LOTUS,100,labase,Conector para Pneu 1/4 Simples 3844 da marca Lotus.,BIC P/PNE 1/4 SIMPLES 3844 LOTU,BICO P/PNEU 1/4 SIMPLES 3844 LOTUS
64,16,PAPEIRO 16 PT,100,all_mini,Papel de Impressão de 16 Pontos.,PAPIRO 16 PT,16 PT PAPEIRO
65,16,PAPEIRO 16 PT,100,q_bv2,Papel de Impressão de 16 Pontos.,PAPIRO 16 PT,16 PT PAPEIRO
66,16,PAPEIRO 16 PT,100,mpnet,Papel de Impressão de 16 Pontos.,PAPIRO 16 PT,16 PT PAPEIRO
67,16,PAPEIRO 16 PT,100,labase,Papel de Impressão de 16 Pontos.,PAPIRO 16 PT,16 PT PAPEIRO
68,17,"MINI MASCARA MANDIOCA 50GR HASKELL (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:",100,all_mini,"Mini Máscara de Mandioca de 50 Gramas da marca Haskell, fornecida em 240.000 unidades, com número de lote 69873, data de fabricação 14 de fevereiro de 2023 e data de validade.","MINI MASCARA MANDOCA 50GR HASKLL (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:","MINI MASCARA MANDIOCA 50GR  (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:"" HASKELL"
69,17,"MINI MASCARA MANDIOCA 50GR HASKELL (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:",100,q_bv2,"Mini Máscara de Mandioca de 50 Gramas da marca Haskell, fornecida em 240.000 unidades, com número de lote 69873, data de fabricação 14 de fevereiro de 2023 e data de validade.","MINI MASCARA MANDOCA 50GR HASKLL (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:","MINI MASCARA MANDIOCA 50GR  (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:"" HASKELL"
70,17,"MINI MASCARA MANDIOCA 50GR HASKELL (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:",100,mpnet,"Mini Máscara de Mandioca de 50 Gramas da marca Haskell, fornecida em 240.000 unidades, com número de lote 69873, data de fabricação 14 de fevereiro de 2023 e data de validade.","MINI MASCARA MANDOCA 50GR HASKLL (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:","MINI MASCARA MANDIOCA 50GR  (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:"" HASKELL"
71,17,"MINI MASCARA MANDIOCA 50GR HASKELL (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:",100,labase,"Mini Máscara de Mandioca de 50 Gramas da marca Haskell, fornecida em 240.000 unidades, com número de lote 69873, data de fabricação 14 de fevereiro de 2023 e data de validade.","MINI MASCARA MANDOCA 50GR HASKLL (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:","MINI MASCARA MANDIOCA 50GR  (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:"" HASKELL"
72,18,(11102500105) CR BRILHO E PROTECAO BRANCO 18L EAN 7891019170609 - Produto Nao Perigoso,100,all_mini,"Creme de Proteção e Brilho Branco de 18 Litros, Código EAN 7891019170609 - Produto Não Perigoso",(11102500105) CR BRILH E PROTEC BRANCO 18L EAN 7891019170609 - Produto Nao Perigos,18L EAN 7891019170609 - Produto Nao Perigoso (11102500105) CR BRILHO E PROTECAO BRANCO
73,18,(11102500105) CR BRILHO E PROTECAO BRANCO 18L EAN 7891019170609 - Produto Nao Perigoso,100,q_bv2,"Creme de Proteção e Brilho Branco de 18 Litros, Código EAN 7891019170609 - Produto Não Perigoso",(11102500105) CR BRILH E PROTEC BRANCO 18L EAN 7891019170609 - Produto Nao Perigos,18L EAN 7891019170609 - Produto Nao Perigoso (11102500105) CR BRILHO E PROTECAO BRANCO
74,18,(11102500105) CR BRILHO E PROTECAO BRANCO 18L EAN 7891019170609 - Produto Nao Perigoso,100,mpnet,"Creme de Proteção e Brilho Branco de 18 Litros, Código EAN 7891019170609 - Produto Não Perigoso",(11102500105) CR BRILH E PROTEC BRANCO 18L EAN 7891019170609 - Produto Nao Perigos,18L EAN 7891019170609 - Produto Nao Perigoso (11102500105) CR BRILHO E PROTECAO BRANCO
75,18,(11102500105) CR BRILHO E PROTECAO BRANCO 18L EAN 7891019170609 - Produto Nao Perigoso,100,labase,"Creme de Proteção e Brilho Branco de 18 Litros, Código EAN 7891019170609 - Produto Não Perigoso",(11102500105) CR BRILH E PROTEC BRANCO 18L EAN 7891019170609 - Produto Nao Perigos,18L EAN 7891019170609 - Produto Nao Perigoso (11102500105) CR BRILHO E PROTECAO BRANCO
76,19,AZEITONA VERDE C BELO SACH 400G INT UN QTD. 15.00 UN,100,all_mini,"Azeite Verde C Belo Sachet de 400 Gramas, com Quantidade de 15 Unidades.",AZEITON VERD C BELO SACH 400G INT UN QTD. 15.00 UN,VERDE C BELO SACH 400G UN INT UN QTD. 15.00 AZEITONA
77,19,AZEITONA VERDE C BELO SACH 400G INT UN QTD. 15.00 UN,100,q_bv2,"Azeite Verde C Belo Sachet de 400 Gramas, com Quantidade de 15 Unidades.",AZEITON VERD C BELO SACH 400G INT UN QTD. 15.00 UN,VERDE C BELO SACH 400G UN INT UN QTD. 15.00 AZEITONA
78,19,AZEITONA VERDE C BELO SACH 400G INT UN QTD. 15.00 UN,100,mpnet,"Azeite Verde C Belo Sachet de 400 Gramas, com Quantidade de 15 Unidades.",AZEITON VERD C BELO SACH 400G INT UN QTD. 15.00 UN,VERDE C BELO SACH 400G UN INT UN QTD. 15.00 AZEITONA
79,19,AZEITONA VERDE C BELO SACH 400G INT UN QTD. 15.00 UN,100,labase,"Azeite Verde C Belo Sachet de 400 Gramas, com Quantidade de 15 Unidades.",AZEITON VERD C BELO SACH 400G INT UN QTD. 15.00 UN,VERDE C BELO SACH 400G UN INT UN QTD. 15.00 AZEITONA
80,20,#CONDIC.NEUTROX 24 MULTIB.300M,100,all_mini,Condicionador de Ar Neutro X 24 Multibanco com Capacidade de 300 Metros.,#CONDIC.NEUTRX 24 MULTIB.300M,#CONDIC.NEUTROX MULTIB.300M 24
81,20,#CONDIC.NEUTROX 24 MULTIB.300M,100,q_bv2,Condicionador de Ar Neutro X 24 Multibanco com Capacidade de 300 Metros.,#CONDIC.NEUTRX 24 MULTIB.300M,#CONDIC.NEUTROX MULTIB.300M 24
82,20,#CONDIC.NEUTROX 24 MULTIB.300M,100,mpnet,Condicionador de Ar Neutro X 24 Multibanco com Capacidade de 300 Metros.,#CONDIC.NEUTRX 24 MULTIB.300M,#CONDIC.NEUTROX MULTIB.300M 24
83,20,#CONDIC.NEUTROX 24 MULTIB.300M,100,labase,Condicionador de Ar Neutro X 24 Multibanco com Capacidade de 300 Metros.,#CONDIC.NEUTRX 24 MULTIB.300M,#CONDIC.NEUTROX MULTIB.300M 24
84,21,PINHO TROP CITRUS 1L,100,all_mini,Óleo Essencial de Pinho Tropical Citrus com Volume de 1 Litro.,PINO TROP CITRUS 1L,CITRUS PINHO TROP 1L
85,21,PINHO TROP CITRUS 1L,100,q_bv2,Óleo Essencial de Pinho Tropical Citrus com Volume de 1 Litro.,PINO TROP CITRUS 1L,CITRUS PINHO TROP 1L
86,21,PINHO TROP CITRUS 1L,100,mpnet,Óleo Essencial de Pinho Tropical Citrus com Volume de 1 Litro.,PINO TROP CITRUS 1L,CITRUS PINHO TROP 1L
87,21,PINHO TROP CITRUS 1L,100,labase,Óleo Essencial de Pinho Tropical Citrus com Volume de 1 Litro.,PINO TROP CITRUS 1L,CITRUS PINHO TROP 1L
88,22,BISCOITO PARATI SALGADO INT 400GR,100,all_mini,Biscoito Saboroso para Intenso com Peso de 400 Gramas.,BISCUIT PARATI SALGAD INT 400GR,PARATI SALGADO INT 400GR BISCOITO
89,22,BISCOITO PARATI SALGADO INT 400GR,100,q_bv2,Biscoito Saboroso para Intenso com Peso de 400 Gramas.,BISCUIT PARATI SALGAD INT 400GR,PARATI SALGADO INT 400GR BISCOITO
90,22,BISCOITO PARATI SALGADO INT 400GR,100,mpnet,Biscoito Saboroso para Intenso com Peso de 400 Gramas.,BISCUIT PARATI SALGAD INT 400GR,PARATI SALGADO INT 400GR BISCOITO
91,22,BISCOITO PARATI SALGADO INT 400GR,100,labase,Biscoito Saboroso para Intenso com Peso de 400 Gramas.,BISCUIT PARATI SALGAD INT 400GR,PARATI SALGADO INT 400GR BISCOITO
92,23,SELADOR P/ MADEIRA FARBEN 900ML,100,all_mini,Selador para Madeira Farben com Capacidade de 900 Mililitros,SELAD P/ MADEIR FARBEN 900ML,MADEIRA FARBEN 900ML SELADOR P/
93,23,SELADOR P/ MADEIRA FARBEN 900ML,100,q_bv2,Selador para Madeira Farben com Capacidade de 900 Mililitros,SELAD P/ MADEIR FARBEN 900ML,MADEIRA FARBEN 900ML SELADOR P/
94,23,SELADOR P/ MADEIRA FARBEN 900ML,100,mpnet,Selador para Madeira Farben com Capacidade de 900 Mililitros,SELAD P/ MADEIR FARBEN 900ML,MADEIRA FARBEN 900ML SELADOR P/
95,23,SELADOR P/ MADEIRA FARBEN 900ML,100,labase,Selador para Madeira Farben com Capacidade de 900 Mililitros,SELAD P/ MADEIR FARBEN 900ML,MADEIRA FARBEN 900ML SELADOR P/
96,24,FITA CETIM No 02 COR 201 C/10MTS,100,all_mini,"Fita de Cetim número 02, cor 201, com 10 metros de comprimento.",FTA CETI No 02 COR 201 C/10MTS,No 02 COR 201 C/10MTS FITA CETIM
97,24,FITA CETIM No 02 COR 201 C/10MTS,100,q_bv2,"Fita de Cetim número 02, cor 201, com 10 metros de comprimento.",FTA CETI No 02 COR 201 C/10MTS,No 02 COR 201 C/10MTS FITA CETIM
98,24,FITA CETIM No 02 COR 201 C/10MTS,100,mpnet,"Fita de Cetim número 02, cor 201, com 10 metros de comprimento.",FTA CETI No 02 COR 201 C/10MTS,No 02 COR 201 C/10MTS FITA CETIM
99,24,FITA CETIM No 02 COR 201 C/10MTS,100,labase,"Fita de Cetim número 02, cor 201, com 10 metros de comprimento.",FTA CETI No 02 COR 201 C/10MTS,No 02 COR 201 C/10MTS FITA CETIM
