,Unnamed: 0,idx,query,page_size,abordagem,sinonimos,erros_digitacao,reordenados,result_query,result_sinonimos,result_erros_digitacao,result_reordenados
23,23,11,DOCE DE LEITE TRAD ELEGE PT 400G,100,semantico,Creme de Leite Tradicional Elegê Pt com Peso de 400 Gramas,DOC DE LEIT TRAD ELEG PT 400G,ELEGE PT 400G DOCE DE LEITE TRAD,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
24,24,12,FD PAMPERS SPLASHERS PM12,100,lexico,Fralda Descartável Pampers Splasher PM12,FD PAMPER SSPLASHRS PM12,SPLASHERS PM12 FD PAMPERS,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
25,25,12,FD PAMPERS SPLASHERS PM12,100,semantico,Fralda Descartável Pampers Splasher PM12,FD PAMPER SSPLASHRS PM12,SPLASHERS PM12 FD PAMPERS,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
26,26,13,VENTILADOR COLUNA 40CM TURBO FORCE VFC4 ARNO,100,lexico,"Ventilador de Coluna com Altura de 40 Centímetros, Tecnologia Turbo Force, Modelo VFC4 da marca Arno.",VENTILADOR COLUN 40CM TURBO FORCE VFC4 ARN,COLUNA 40CM TURBO FORCE VFC4 ARNO VENTILADOR,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
27,27,13,VENTILADOR COLUNA 40CM TURBO FORCE VFC4 ARNO,100,semantico,"Ventilador de Coluna com Altura de 40 Centímetros, Tecnologia Turbo Force, Modelo VFC4 da marca Arno.",VENTILADOR COLUN 40CM TURBO FORCE VFC4 ARN,COLUNA 40CM TURBO FORCE VFC4 ARNO VENTILADOR,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
28,28,14,FLORATTA DES COL F/SECRET 75ml (Desc. 2.89),100,lexico,Floratta Desodorante Secreto de 75 Milílitros (Descrição 2.89),FLORATA DES COL F/SECRET 75ml (Desc. 2.89),DES COL F/SECRET 75ml (Desc. 2.89) FLORATTA,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
29,29,14,FLORATTA DES COL F/SECRET 75ml (Desc. 2.89),100,semantico,Floratta Desodorante Secreto de 75 Milílitros (Descrição 2.89),FLORATA DES COL F/SECRET 75ml (Desc. 2.89),DES COL F/SECRET 75ml (Desc. 2.89) FLORATTA,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
30,30,15,BICO P/PNEU 1/4 SIMPLES 3844 LOTUS,100,lexico,Conectador Pneumático de 1/4 Polegada Simples 3844 da Marca Lotus,BIC P/PNE 1/4 SIMPLES 3844 LOTU,BICO P/PNEU 1/4 SIMPLES 3844 LOTUS,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
31,31,15,BICO P/PNEU 1/4 SIMPLES 3844 LOTUS,100,semantico,Conectador Pneumático de 1/4 Polegada Simples 3844 da Marca Lotus,BIC P/PNE 1/4 SIMPLES 3844 LOTU,BICO P/PNEU 1/4 SIMPLES 3844 LOTUS,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
32,32,16,PAPEIRO 16 PT,100,lexico,Papel A4 16 Pontos.,PAPIRO 16 PT,16 PT PAPEIRO,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
33,33,16,PAPEIRO 16 PT,100,semantico,Papel A4 16 Pontos.,PAPIRO 16 PT,16 PT PAPEIRO,"{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
34,34,17,"MINI MASCARA MANDIOCA 50GR HASKELL (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:",100,lexico,"Mini Máscara de Mandioca de 50 Gramas da Haskell, fornecida em 240.000 unidades, com número de lote 69873, fabricada em 14 de fevereiro de 2023 e válida até a data de validade específica.","MINI MASCARA MANDOCA 50GR HASKLL (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:","MINI MASCARA MANDIOCA 50GR  (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:"" HASKELL","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/notas_fiscais/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
35,35,17,"MINI MASCARA MANDIOCA 50GR HASKELL (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:",100,semantico,"Mini Máscara de Mandioca de 50 Gramas da Haskell, fornecida em 240.000 unidades, com número de lote 69873, fabricada em 14 de fevereiro de 2023 e válida até a data de validade específica.","MINI MASCARA MANDOCA 50GR HASKLL (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:","MINI MASCARA MANDIOCA 50GR  (Fornecedor: 1, Lote: 69873, Qtde: 240,000 ,Data Fab: 14/02/2023, Data Val:"" HASKELL","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}","{""error"":{""root_cause"":[{""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}}],""type"":""security_exception"",""reason"":""missing authentication credentials for REST request [/index_s_nf/_search]"",""header"":{""WWW-Authenticate"":[""Basic realm=\""security\"" charset=\""UTF-8\"""",""ApiKey""]}},""status"":401}"
